johnlewisweeklydistro.site	johnlewisweeklydistro.country	johnlewisweeklydistro.weekbegins	johnlewisweeklydistro.weekends	johnlewisweeklydistro.direct	johnlewisweeklydistro.displayads	johnlewisweeklydistro.mail	johnlewisweeklydistro.organic_search	johnlewisweeklydistro.paid_search	johnlewisweeklydistro.referrals	johnlewisweeklydistro.social	johnlewisweeklydistro.visits
barbour.com*	WorldWide	08.14.2016	08.20.2016	0.2483221476510067	0.006711409395973154	0.020134228187919462	0.46308724832214765	0.0447427293064877	0.15436241610738255	0.06263982102908278	48956.45242897469
bathstore.com*	WorldWide	08.14.2016	08.20.2016	0.14583333333333334	0.013888888888888888	0.020833333333333332	0.6875	0.07291666666666667	0.052083333333333336	0.006944444444444444	61029.17978512746
bensonsforbeds.co.uk*	WorldWide	08.14.2016	08.20.2016	0.1319796954314721	0.01015228426395939	0.030456852791878174	0.4467005076142132	0.2131979695431472	0.15736040609137056	0.01015228426395939	37971.77654681056
bhs.co.uk*	WorldWide	08.14.2016	08.20.2016	0.2589928057553957	0.0	0.0	0.6366906474820144	0.0	0.08273381294964029	0.02158273381294964	47275.78319364456
bhsdirect.co.uk*	WorldWide	08.14.2016	08.20.2016	0.16455696202531644	0.2911392405063291	0.0	0.2911392405063291	0.24050632911392406	0.012658227848101266	0.0	17806.801386162202
blinds-2go.co.uk*	WorldWide	08.14.2016	08.20.2016	0.20175438596491227	0.0043859649122807015	0.05263157894736842	0.2631578947368421	0.3157894736842105	0.15350877192982457	0.008771929824561403	46541.87897316381
boden.co.uk*	WorldWide	08.14.2016	08.20.2016	0.34458259325044405	0.0053285968028419185	0.047957371225577264	0.2255772646536412	0.11367673179396093	0.22202486678507993	0.04085257548845471	93671.10996324773
boohoo.com*	WorldWide	08.14.2016	08.20.2016	0.28872863247863245	0.01282051282051282	0.03766025641025641	0.36712072649572647	0.00921474358974359	0.2389155982905983	0.04553952991452991	1035782.5312375189
boots.com*	WorldWide	08.14.2016	08.20.2016	0.21494464944649447	0.0038218239325250396	0.012651555086979441	0.5678703215603584	0.06299420137058513	0.11768581971534	0.020031628887717447	1494342.9841232488
bosch-home.co.uk*	WorldWide	08.14.2016	08.20.2016	0.2140468227424749	0.0033444816053511705	0.030100334448160536	0.6220735785953178	0.006688963210702341	0.12374581939799331	0.0	55938.21029818419
canon.co.uk*	WorldWide	08.14.2016	08.20.2016	0.1880766501064585	0.0014194464158978	0.0021291696238466998	0.7019162526614621	0.0191625266146203	0.0801987224982257	0.007097232079488999	265306.3906482822
clarks.co.uk*	WorldWide	08.14.2016	08.20.2016	0.22727272727272727	0.0342902711323764	0.06220095693779904	0.41228070175438597	0.09170653907496013	0.1594896331738437	0.012759170653907496	236220.72506618692
ctshirts.com*	WorldWide	08.14.2016	08.20.2016	0.39664157498552405	0.01447596988998263	0.03647944412275622	0.2032426172553561	0.061378112333526344	0.1795020266357846	0.10828025477707007	194169.4367645203
currys.co.uk*	WorldWide	08.14.2016	08.20.2016	0.23242748889469558	0.013326365299189966	0.018421740266527306	0.43049385941991114	0.15220799581917951	0.14227854716488111	0.010844003135615364	1598473.2424565915
dabs.com*	WorldWide	08.14.2016	08.20.2016	0.46808510638297873	0.0	0.06382978723404255	0.3404255319148936	0.0	0.1276595744680851	0.0	6862.010534999772
dawsonsdepartmentstore.co.uk*	WorldWide	08.14.2016	08.20.2016	0.0	0.0	0.0	0.3125	0.0	0.6875	0.0	3642.7968862607945
debenhams.com*	WorldWide	08.14.2016	08.20.2016	0.26134554140127386	0.0029856687898089174	0.03702229299363057	0.48427547770700635	0.07105891719745223	0.1321656050955414	0.011146496815286623	1001810.6190265676
decathlon.co.uk*	WorldWide	08.14.2016	08.20.2016	0.1913613996719519	0.0016402405686167304	0.019682886823400764	0.46036085292509565	0.09622744669218151	0.20448332422088572	0.026243849097867686	309979.08242549695
dfs.co.uk*	WorldWide	08.14.2016	08.20.2016	0.1967479674796748	0.02926829268292683	0.014634146341463415	0.526829268292683	0.14796747967479676	0.07479674796747968	0.00975609756097561	109930.21272257275
direct.asda.com#	WorldWide	08.14.2016	08.20.2016	0.21178500986193294	0.026134122287968443	0.01257396449704142	0.2566568047337278	0.11686390532544379	0.3165680473372781	0.05941814595660749	601052.5108759559
direct.tesco.com#	WorldWide	08.14.2016	08.20.2016	0.0	0.0	0.0	0.0	0.0	1.0	0.0	418.33467396908674
disneystore.co.uk*	WorldWide	08.14.2016	08.20.2016	0.3048211508553655	0.013996889580093312	0.00933125972006221	0.38880248833592534	0.03110419906687403	0.19906687402799378	0.05287713841368585	75720.53735398673
diy.com*	WorldWide	08.14.2016	08.20.2016	0.2491044776119403	0.009701492537313432	0.018805970149253733	0.5383582089552239	0.08791044776119403	0.08985074626865672	0.00626865671641791	1457691.9875292827
dorothyperkins.com*	WorldWide	08.14.2016	08.20.2016	0.26036644165863065	9.643201542912247E-4	0.07232401157184185	0.39247830279652846	0.029893924783027964	0.20154291224686596	0.04243008678881389	163313.3986258597
dreams.co.uk*	WorldWide	08.14.2016	08.20.2016	0.17987152034261242	0.010706638115631691	0.006423982869379015	0.5074946466809421	0.20342612419700215	0.0728051391862955	0.019271948608137045	87360.2641112038
dunelm.com*	WorldWide	08.14.2016	08.20.2016	0.19218449711723254	0.005124919923126201	0.03074951953875721	0.5240230621396541	0.14798206278026907	0.09417040358744394	0.005765534913516977	336478.0935958641
dwell.co.uk*	WorldWide	08.14.2016	08.20.2016	0.2746478873239437	0.04225352112676056	0.0	0.31690140845070425	0.18309859154929578	0.13380281690140844	0.04929577464788732	29350.791180876116
dyson.co.uk*	WorldWide	08.14.2016	08.20.2016	0.23903508771929824	0.013157894736842105	0.019736842105263157	0.41228070175438597	0.20614035087719298	0.10526315789473684	0.0043859649122807015	83993.73681627114
ebuyer.com*	WorldWide	08.14.2016	08.20.2016	0.4315177154944474	0.007932310946589107	0.07350608143839238	0.20870791468358893	0.10223867442270404	0.14895117221928433	0.027146130794993832	948181.7475702922
elc.co.uk*	WorldWide	08.14.2016	08.20.2016	0.2926829268292683	0.006097560975609756	0.09146341463414634	0.3475609756097561	0.04878048780487805	0.17682926829268292	0.036585365853658534	27588.252342780088
emmabridgewater.co.uk*	WorldWide	08.14.2016	08.20.2016	0.40625	0.0	0.1875	0.17708333333333334	0.0	0.21875	0.010416666666666666	14100.144678071912
etsy.com*	WorldWide	08.14.2016	08.20.2016	0.3333068605290488	0.00794795039403751	0.04325248946178752	0.24297757957114058	0.041578593683181626	0.22452196224570836	0.1064145641150956	2.1723157408330344E7
farfetch.com*	WorldWide	08.14.2016	08.20.2016	0.2773139745916515	0.0633393829401089	0.024500907441016333	0.21370235934664247	0.1956442831215971	0.1911978221415608	0.03430127041742287	985491.2779486512
fatface.com*	WorldWide	08.14.2016	08.20.2016	0.3132295719844358	0.005836575875486381	0.1867704280155642	0.28793774319066145	0.07198443579766536	0.10894941634241245	0.02529182879377432	115696.90079034271
feelunique.com*	WorldWide	08.14.2016	08.20.2016	0.3328081922016542	0.08507286333202048	0.06971248523040567	0.1981094919259551	0.08389129578574242	0.20047262701851123	0.02993304450571091	308959.8801034213
figleaves.com*	WorldWide	08.14.2016	08.20.2016	0.2890792291220557	0.008565310492505354	0.044967880085653104	0.3490364025695932	0.11777301927194861	0.17130620985010706	0.019271948608137045	69503.9050695193
fisherpaykel.com*	WorldWide	08.14.2016	08.20.2016	0.19710144927536233	0.020289855072463767	0.05217391304347826	0.5130434782608696	0.057971014492753624	0.11014492753623188	0.04927536231884058	48352.12618684514
fitness-superstore.co.uk*	WorldWide	08.14.2016	08.20.2016	0.22926829268292684	0.04390243902439024	0.0	0.375609756097561	0.2731707317073171	0.07317073170731707	0.004878048780487805	38578.54885167442
furniturevillage.co.uk*	WorldWide	08.14.2016	08.20.2016	0.1359773371104816	0.0226628895184136	0.0169971671388102	0.5892351274787535	0.1643059490084986	0.0708215297450425	0.0	71515.19489127144
georgjensen.com*	WorldWide	08.14.2016	08.20.2016	0.23696682464454977	0.014218009478672985	0.014218009478672985	0.3175355450236967	0.11374407582938388	0.1943127962085308	0.10900473933649289	24812.901463866903
