johnlewisweeklydistro.site	johnlewisweeklydistro.country	johnlewisweeklydistro.weekbegins	johnlewisweeklydistro.weekends	johnlewisweeklydistro.direct	johnlewisweeklydistro.displayads	johnlewisweeklydistro.mail	johnlewisweeklydistro.organic_search	johnlewisweeklydistro.paid_search	johnlewisweeklydistro.referrals	johnlewisweeklydistro.social	johnlewisweeklydistro.visits
steamer.co.uk*	WorldWide	08.06.2017	08.12.2017	0.23121387283236994	0.0	0.0	0.5375722543352601	0.11560693641618497	0.08670520231213873	0.028901734104046242	6431.4512814347
store.apple.com#	WorldWide	08.06.2017	08.12.2017	0.06713525502084411	2.4149216417191727E-4	0.07644112386892843	0.01555209537267147	2.4149216417191727E-4	0.8316787240214112	0.008709817387800481	1661674.2100896256
zalando.co.uk*	WorldWide	08.06.2017	08.12.2017	0.21157275055933505	0.02131305873900191	0.05344460018138777	0.4497767988598488	0.03783229879506722	0.18835775673739907	0.03770273612796082	421022.53166592354
harveynichols.com*	WorldWide	08.06.2017	08.12.2017	0.24360487996851632	0.04053522235340417	0.023612750885478154	0.4529712711530893	0.07083825265643447	0.14679260133805586	0.021645021645021644	76107.89713444475
thewhitecompany.com*	WorldWide	08.06.2017	08.12.2017	0.24514737598849756	0.007189072609633359	0.07548526240115026	0.4219985621854782	0.10783608914450038	0.10639827462257372	0.0359453630481668	50013.50967814572
zarahome.com*	WorldWide	08.06.2017	08.12.2017	0.1784190111543804	0.0016400454653212942	0.05853556557941031	0.5875861176269402	0.025453505621786485	0.12501150712598658	0.023354247426175232	337261.6130305406
asos.com*	WorldWide	08.06.2017	08.12.2017	0.33682645248471976	0.00935136874404331	0.05525634833388521	0.2111654482912195	0.07159865952745009	0.22877416904686082	0.08702755357182168	7843488.639557071
fatface.com*	WorldWide	08.06.2017	08.12.2017	0.2494172494172494	0.004293951662372715	0.12881854987118144	0.36498589130168074	0.10734879155931787	0.12366580787633417	0.021469758311863575	42281.489727406755
pcworld.co.uk*	WorldWide	08.06.2017	08.12.2017	0.1949829799164897	0.0018111476372285403	0.009345521808099267	0.6415033183988139	0.062158586909683504	0.07433279202756336	0.015865653302122015	523044.2713286348
tedbaker.com*	WorldWide	08.06.2017	08.12.2017	0.25635070718417086	0.025952525720534338	0.03406269000820132	0.42140413638717644	0.0851567250205033	0.12792562009615174	0.049147595583261906	184241.11818831868
zara.com*	WorldWide	08.06.2017	08.12.2017	0.35252973246607044	8.538376321760782E-4	0.019545119616539677	0.4460172888183147	0.008861799667282023	0.14308264219598335	0.029109579603634136	4489905.618611793
boden.co.uk*	WorldWide	08.06.2017	08.12.2017	0.297469387755102	0.017959183673469385	0.11363265306122446	0.21224489795918364	0.09730612244897957	0.23199999999999996	0.02938775510204081	108252.81579326547
dreams.co.uk*	WorldWide	08.06.2017	08.12.2017	0.1373224278949634	0.019371502367628062	0.006457167455876022	0.6482996125699526	0.12483857081360308	0.046491605682307355	0.01721911321566939	77996.95590450242
ralphlauren.co.uk*	WorldWide	08.06.2017	08.12.2017	0.2291704984366379	0.012874747103181903	0.02896818098215928	0.4023358469744345	0.1448409049107964	0.16571638771381278	0.016093433878977378	51176.17256497568
emmabridgewater.co.uk*	WorldWide	08.06.2017	08.12.2017	0.1580135440180587	0.0	0.06772009029345373	0.16478555304740408	0.0	0.598194130925508	0.011286681715575621	15602.33902417368
harlequin.uk.com*	WorldWide	08.06.2017	08.12.2017	0.2	0.0	0.0	0.8	0.0	0.0	0.0	105.48036366602201
lauraashley.com*	WorldWide	08.06.2017	08.12.2017	0.11234487263226652	0.019595035924232528	0.08425865447419986	0.5284128020901371	0.0914435009797518	0.10516002612671457	0.05878510777269758	53878.24123811692
hotpoint.co.uk*	WorldWide	08.06.2017	08.12.2017	0.14661654135338345	0.0	0.02819548872180451	0.6973684210526315	0.03383458646616541	0.07518796992481203	0.018796992481203006	20324.49058239569
joules.com*	WorldWide	08.06.2017	08.12.2017	0.2118155619596542	0.007204610951008646	0.04971181556195966	0.34077809798270897	0.0468299711815562	0.32204610951008644	0.021613832853025938	50794.626717912644
samsung.com*	WorldWide	08.06.2017	08.12.2017	0.17925697994198778	0.009900087537847881	0.02699239770716168	0.5939249816623288	0.06626960567427613	0.09669086100165138	0.02696508647474648	1.2875367746704172E7
direct.asda.com#	WorldWide	08.06.2017	08.12.2017	0.25176876785570707	0.01002472101857403	0.024957811664499657	0.26114190271621474	0.07383352617414482	0.2977308469278526	0.08054242364300675	646595.6616880638
heals.com*	WorldWide	08.06.2017	08.12.2017	0.22603978300180835	0.009041591320072333	0.043399638336347204	0.47920433996383366	0.081374321880651	0.12477396021699819	0.03616636528028933	18163.99793154854
oakfurnitureland.co.uk*	WorldWide	08.06.2017	08.12.2017	0.21413934426229514	0.0	0.015368852459016397	0.2981557377049181	0.39754098360655743	0.049180327868852465	0.02561475409836066	36956.73702861949
rakuten.co.uk*	WorldWide	08.06.2017	08.12.2017	0.5742268041237114	0.0	0.04639175257731959	0.1268041237113402	0.0	0.0979381443298969	0.15463917525773196	33335.32486652566
selfridges.co.uk*	WorldWide	08.06.2017	08.12.2017	0.8571428571428571	0.0	0.0	0.0	0.0	0.14285714285714285	0.0	1334.8259341171636
