site	country	dvisits	dusers	mvisits	musers	year	month
jobs.theguardian.com	44	197.420405	197.420405	0	0	16	12
jobs.theguardian.com	76	1207.19076	1117.798177	0	0	16	12
jobs.theguardian.com	300	6617.2578	5368.996575	3749.611009	963.1856651	16	12
jobs.theguardian.com	364	1261.149478	1261.149478	0	0	16	12
jobs.theguardian.com	428	328.5179149	301.7873318	0	0	16	12
jobs.theguardian.com	524	164.1735523	164.1735523	0	0	16	12
jobs.theguardian.com	620	3526.827748	3254.708691	995.9609813	497.9804906	16	12
jobs.theguardian.com	716	863.0088945	863.0088945	0	0	16	12
jobs.theguardian.com	780	909.1324044	687.4394498	0	0	16	12
jobs.theguardian.com	203	864.3384356	808.3926548	0	0	16	12
jobs.theguardian.com	170	741.5681083	741.5681083	0	0	16	12
jobs.theguardian.com	426	2977.454048	2977.454048	0	0	16	12
jobs.theguardian.com	458	3153.916149	3120.940611	1544.570252	175.3008031	16	12
jobs.theguardian.com	554	1479.130278	1418.997183	5151.255184	727.270663	16	12
jobs.theguardian.com	586	3725.628307	3673.27368	0	0	16	12
jobs.theguardian.com	682	3771.905637	3546.9364	2062.816963	605.3231061	16	12
jobs.theguardian.com	233	211.5580067	188.7839401	0	0	16	12
jobs.theguardian.com	40	1737.987672	1621.529773	0	0	16	12
jobs.theguardian.com	72	228.9876293	228.9876293	0	0	16	12
jobs.theguardian.com	104	26.01744444	26.01744444	0	0	16	12
jobs.theguardian.com	360	1269.017361	1269.017361	248.0529376	0	16	12
jobs.theguardian.com	392	2984.11249	2779.886278	0	0	16	12
jobs.theguardian.com	616	5720.260064	4990.725781	5286.128067	1409.381922	16	12
jobs.theguardian.com	840	28354.78253	27674.87905	49458.79239	10164.31191	16	12
jobs.theguardian.com	231	488.3635173	488.3635173	0	0	16	12
jobs.theguardian.com	807	167.4799826	142.6318269	0	0	16	12
jobs.theguardian.com	999	882940.6712	826938.7518	657578.7725	401255.8643	16	12
jobs.theguardian.com	70	76.74119308	76.74119308	0	0	16	12
jobs.theguardian.com	262	580.4299554	580.4299554	0	0	16	12
jobs.theguardian.com	422	501.723505	501.723505	0	0	16	12
jobs.theguardian.com	454	569.4977947	569.4977947	0	0	16	12
jobs.theguardian.com	646	276.6349134	276.6349134	0	0	16	12
jobs.theguardian.com	710	5192.012587	4669.171008	3719.391448	1688.742474	16	12
jobs.theguardian.com	4	3592.707711	3592.707711	0	0	16	12
jobs.theguardian.com	36	3406.084894	3406.084894	0	0	16	12
jobs.theguardian.com	100	647.1862975	647.1862975	0	0	16	12
jobs.theguardian.com	196	261.909342	201.2463319	0	0	16	12
jobs.theguardian.com	356	12871.58867	12567.70414	11014.39078	5769.606282	16	12
jobs.theguardian.com	388	1173.449267	1173.449267	0	0	16	12
jobs.theguardian.com	484	2475.435294	2357.071089	0	0	16	12
jobs.theguardian.com	516	205.0680237	205.0680237	0	0	16	12
jobs.theguardian.com	804	609.7320792	597.4556767	750.7459628	106.8425671	16	12
jobs.theguardian.com	643	2327.928554	2135.398874	2734.162738	612.229912	16	12
jobs.theguardian.com	578	806.0662306	806.0662306	0	0	16	12
jobs.theguardian.com	642	2121.126309	2069.871743	607.9560203	46.4238886	16	12
jobs.theguardian.com	706	59.57062879	59.57062879	0	0	16	12
jobs.theguardian.com	834	3067.420697	3067.420697	0	0	16	12
jobs.theguardian.com	705	195.6175246	195.6175246	0	0	16	12
jobs.theguardian.com	32	362.0430192	362.0430192	185.1468255	46.12136112	16	12
jobs.theguardian.com	96	792.3904715	792.3904715	0	0	16	12
jobs.theguardian.com	288	546.3368201	503.465275	0	0	16	12
jobs.theguardian.com	480	218.003992	218.003992	0	0	16	12
jobs.theguardian.com	512	530.2912949	530.2912949	0	0	16	12
jobs.theguardian.com	608	2973.633246	2838.009913	1252.101685	428.5938735	16	12
jobs.theguardian.com	704	3126.914137	2799.265616	0	0	16	12
jobs.theguardian.com	736	108.7869128	108.7869128	0	0	16	12
jobs.theguardian.com	800	1739.814569	1456.282409	0	0	16	12
jobs.theguardian.com	31	216.6202521	216.6202521	0	0	16	12
jobs.theguardian.com	191	1248.509219	1197.369015	620.034605	201.0710504	16	12
jobs.theguardian.com	703	544.2399734	544.2399734	0	0	16	12
jobs.theguardian.com	158	1032.494722	1032.494722	0	0	16	12
jobs.theguardian.com	414	78.02783855	78.02783855	0	0	16	12
jobs.theguardian.com	638	142.3964338	142.3964338	0	0	16	12
jobs.theguardian.com	702	1572.662269	1459.839282	0	0	16	12
jobs.theguardian.com	894	770.7578352	770.7578352	0	0	16	12
jobs.theguardian.com	28	317.9797949	317.9797949	0	0	17	1
jobs.theguardian.com	60	220.5079363	220.5079363	0	0	17	1
jobs.theguardian.com	124	7424.634752	7225.484385	0	0	17	1
jobs.theguardian.com	156	280.9833633	280.9833633	0	0	17	1
jobs.theguardian.com	348	1682.429373	1602.643553	0	0	17	1
jobs.theguardian.com	380	10896.06094	10485.17324	5254.983533	1018.832846	17	1
jobs.theguardian.com	604	875.5219417	799.9212511	0	0	17	1
jobs.theguardian.com	764	3785.759391	3344.505333	0	0	17	1
jobs.theguardian.com	860	65.5404754	65.5404754	0	0	17	1
jobs.theguardian.com	250	10600.87565	9885.050046	0	0	17	1
jobs.theguardian.com	410	950.7750978	950.7750978	1449.405075	203.1492374	17	1
jobs.theguardian.com	442	877.1544274	669.022839	0	0	17	1
jobs.theguardian.com	634	2529.264291	2497.210559	0	0	17	1
jobs.theguardian.com	826	938107.0039	877515.3043	766852.6318	618492.4668	17	1
jobs.theguardian.com	56	5059.465574	4408.613928	0	0	17	1
