countryname	country	mobile	domain	ga:month	ga:year	ga:devicecategory	ga:sessions	>100k
Canada	124	0	garnier.ca	8	2015	mobile	32685	0
Canada	124	0	garnier.ca	8	2016	mobile	28321	0
Canada	124	0	garnier.ca	9	2015	mobile	29248	0
Canada	124	0	garnier.ca	9	2016	mobile	27180	0
Canada	124	0	garnier.ca	10	2015	mobile	27146	0
Canada	124	0	garnier.ca	10	2016	mobile	30954	0
Canada	124	0	garnier.ca	11	2015	mobile	23742	0
Canada	124	0	garnier.ca	11	2016	mobile	25104	0
Canada	124	0	garnier.ca	12	2015	mobile	23269	0
Canada	124	0	garnier.ca	12	2016	mobile	24529	0
Canada	124	0	kerastase.ca	1	2016	mobile	15077	0
Canada	124	0	kerastase.ca	1	2017	mobile	19376	0
Canada	124	0	kerastase.ca	2	2016	mobile	16156	0
Canada	124	0	kerastase.ca	2	2017	mobile	18369	0
Canada	124	0	kerastase.ca	3	2016	mobile	17614	0
Canada	124	0	kerastase.ca	3	2017	mobile	19489	0
Canada	124	0	kerastase.ca	4	2016	mobile	17118	0
Canada	124	0	kerastase.ca	4	2017	mobile	19262	0
Canada	124	0	kerastase.ca	5	2015	mobile	11351	0
Canada	124	0	kerastase.ca	5	2016	mobile	18451	0
Canada	124	0	kerastase.ca	5	2017	mobile	19642	0
Canada	124	0	kerastase.ca	6	2015	mobile	13080	0
Canada	124	0	kerastase.ca	6	2016	mobile	17063	0
Canada	124	0	kerastase.ca	7	2015	mobile	13341	0
Canada	124	0	kerastase.ca	7	2016	mobile	17573	0
Canada	124	0	kerastase.ca	8	2015	mobile	16554	0
Canada	124	0	kerastase.ca	8	2016	mobile	18519	0
Canada	124	0	kerastase.ca	9	2015	mobile	18472	0
Canada	124	0	kerastase.ca	9	2016	mobile	17335	0
Canada	124	0	kerastase.ca	10	2015	mobile	17827	0
Canada	124	0	kerastase.ca	10	2016	mobile	22891	0
Canada	124	0	kerastase.ca	11	2015	mobile	28037	0
Canada	124	0	kerastase.ca	11	2016	mobile	32616	0
Canada	124	0	kerastase.ca	12	2015	mobile	22303	0
Canada	124	0	kerastase.ca	12	2016	mobile	25810	0
Canada	124	0	kiehls.ca	1	2017	mobile	104601	1
Canada	124	0	kiehls.ca	2	2017	mobile	86650	0
Canada	124	0	kiehls.ca	3	2017	mobile	128393	1
Canada	124	0	kiehls.ca	4	2017	mobile	96362	0
Canada	124	0	kiehls.ca	5	2015	mobile	113355	1
Canada	124	0	kiehls.ca	5	2017	mobile	93885	0
Canada	124	0	kiehls.ca	6	2015	mobile	85208	0
Canada	124	0	kiehls.ca	7	2015	mobile	59065	0
Canada	124	0	kiehls.ca	8	2015	mobile	69775	0
Canada	124	0	kiehls.ca	9	2015	mobile	101058	1
Canada	124	0	kiehls.ca	10	2015	mobile	82029	0
Canada	124	0	kiehls.ca	11	2015	mobile	136261	1
Canada	124	0	kiehls.ca	12	2015	mobile	80334	0
Canada	124	0	lancome.ca	1	2017	mobile	73468	0
Canada	124	0	lancome.ca	2	2017	mobile	70724	0
Canada	124	0	lancome.ca	3	2017	mobile	73311	0
Canada	124	0	lancome.ca	4	2017	mobile	79347	0
Canada	124	0	lancome.ca	5	2017	mobile	77930	0
