monthlycountrydis.site	monthlycountrydis.country	monthlycountrydis.dvisits	monthlycountrydis.dusers	monthlycountrydis.mvisits	monthlycountrydis.musers	monthlycountrydis.year	monthlycountrydis.month
chitai-gorod.ru*	40	481.35161005377347	416.1874646276772	0.0	0.0	17	2
chitai-gorod.ru*	392	113.25181491634528	113.25181491634528	0.0	0.0	17	2
chitai-gorod.ru*	616	577.8423833806404	577.8423833806404	0.0	0.0	17	2
chitai-gorod.ru*	840	12762.273842299819	11284.0612798007	23284.443940774632	11508.162160892112	17	2
chitai-gorod.ru*	100	955.6707451324756	955.6707451324756	1991.0865647933622	964.744578557983	17	2
chitai-gorod.ru*	484	222.32870209816306	222.32870209816306	0.0	0.0	17	2
chitai-gorod.ru*	804	26896.543449926758	25252.143987225354	27341.585557912233	14520.151241924343	17	2
chitai-gorod.ru*	643	1713408.8162899744	1516015.2754563547	2052128.6635064925	1658150.3688726958	17	3
chitai-gorod.ru*	578	167.03956324322553	167.03956324322553	0.0	0.0	17	3
chitai-gorod.ru*	642	10465.213584632718	9545.90161344732	0.0	0.0	17	3
chitai-gorod.ru*	417	822.0850341391458	777.3493873678831	0.0	0.0	17	3
chitai-gorod.ru*	32	186.25093159585347	186.25093159585347	0.0	0.0	17	3
chitai-gorod.ru*	704	934.3053435373884	934.3053435373884	0.0	0.0	17	3
chitai-gorod.ru*	31	884.357608935315	823.5181478896072	0.0	0.0	17	3
chitai-gorod.ru*	191	145.45966302803694	145.45966302803694	0.0	0.0	17	3
chitai-gorod.ru*	703	318.79426999468234	318.79426999468234	0.0	0.0	17	3
chitai-gorod.ru*	702	246.31727528404264	179.24361757016953	0.0	0.0	17	3
chitai-gorod.ru*	124	2557.0959639317553	2378.494237202064	0.0	0.0	17	3
chitai-gorod.ru*	156	255.40512873221527	248.88941027079503	0.0	0.0	17	3
chitai-gorod.ru*	380	652.5477476886166	652.5477476886166	0.0	0.0	17	3
chitai-gorod.ru*	604	180.05289153437317	180.05289153437317	0.0	0.0	17	3
chitai-gorod.ru*	764	2311.1900181142155	1929.8256357157318	0.0	0.0	17	3
chitai-gorod.ru*	860	894.8057775421839	894.8057775421839	0.0	0.0	17	3
chitai-gorod.ru*	795	19.533325243667964	19.533325243667964	0.0	0.0	17	3
chitai-gorod.ru*	250	8168.905130051112	6871.357205789691	0.0	0.0	17	3
chitai-gorod.ru*	410	96.43334892644724	96.43334892644724	0.0	0.0	17	3
chitai-gorod.ru*	442	398.0373732391709	398.0373732391709	0.0	0.0	17	3
chitai-gorod.ru*	762	128.44782222305523	128.44782222305523	0.0	0.0	17	3
chitai-gorod.ru*	826	7442.020437873415	7406.488193439561	47383.45659281076	15174.250253577928	17	3
chitai-gorod.ru*	56	146.41434885494382	146.41434885494382	0.0	0.0	17	3
chitai-gorod.ru*	344	464.90699078980674	464.90699078980674	0.0	0.0	17	3
chitai-gorod.ru*	376	1185.1310974971368	1185.1310974971368	0.0	0.0	17	3
chitai-gorod.ru*	440	314.11662406322415	314.11662406322415	0.0	0.0	17	3
chitai-gorod.ru*	504	81.06089880522394	81.06089880522394	0.0	0.0	17	3
chitai-gorod.ru*	792	2870.5626122859	2870.5626122859	0.0	0.0	17	3
chitai-gorod.ru*	246	941.1798021133679	902.4666243182154	0.0	0.0	17	3
chitai-gorod.ru*	276	16367.57295896137	15085.603603962307	0.0	0.0	17	3
chitai-gorod.ru*	372	162.78277414733222	162.78277414733222	0.0	0.0	17	3
chitai-gorod.ru*	724	1223.0292255653364	1223.0292255653364	0.0	0.0	17	3
chitai-gorod.ru*	756	2708.9275795500357	1925.4842930701575	0.0	0.0	17	3
chitai-gorod.ru*	51	1074.098917694382	1048.5099602057144	0.0	0.0	17	3
chitai-gorod.ru*	499	901.7538937189488	803.8883842259966	0.0	0.0	17	3
chitai-gorod.ru*	498	2025.3241609435167	2010.0758843586304	0.0	0.0	17	3
