site	country	source	site2	traffic_source	landingpage	sendingpage	user	pages	timestamps	refpath	year	month	day
sportinglife.com*	826	576	skybet.com	5	sportinglife.com/racing/fast-results	skybet.com/my-bets	lqdfghq287401i5iialbj7loqd9	"[""sportinglife.com/racing/fast-results""]"	[1496589330000]	"[""sportinglife.com/racing/fast-results""]"	17	6	4
sportinglife.com*	826	576	skybet.com	6	pick7.sportinglife.com	skybet.com/my-bets	d2qrdn4ohh8ioncqi294dq667ep	"[""pick7.sportinglife.com"",""pick7.sportinglife.com"",""pick7.sportinglife.com/results"",""pick7.sportinglife.com/play"",""pick7.sportinglife.com/play#2"",""pick7.sportinglife.com/play#3"",""pick7.sportinglife.com/play#4"",""pick7.sportinglife.com/play#5"",""pick7.sportinglife.com/play#6"",""pick7.sportinglife.com/play#7"",""pick7.sportinglife.com/play#8"",""pick7.sportinglife.com/play#9"",""pick7.sportinglife.com/played#9""]"	"[1498066757000,1498066758000,1498066762000,1498066795000,1498066836000,1498066861000,1498066889000,1498066905000,1498066911000,1498066953000,1498066992000,1498066999000,1498067003000]"	"[""pick7.sportinglife.com""]"	17	6	21
sportinglife.com*	826	576	skybet.com	5	pick7.sportinglife.com	skybet.com/?aff_id=9389	gb1p7djrf5q24jek3dr28n0p7mk	"[""pick7.sportinglife.com"",""pick7.sportinglife.com"",""pick7.sportinglife.com/played""]"	"[1497702916000,1497702918000,1497702923000]"	"[""pick7.sportinglife.com""]"	17	6	17
sportinglife.com*	826	1240	skybet.com	5	sportinglife.com	skybet.com	c79ae62800acf7907832f37f34a982025414ade2	"[""sportinglife.com"",""sportinglife.com/racing/news/friday's-racing-preview/75453""]"	"[1496992864554,1496993472321]"	"[""sportinglife.com""]"	17	6	9
sportinglife.com*	826	587	skybet.com	5	sportinglife.com	skybet.com/my-bets	2rj0xul0irq	"[""sportinglife.com"",""sportinglife.com/racing/racecards"",""sportinglife.com/racing/results/2017-06-03/epsom-downs/212413/investec-derby-(group-1)""]"	"[1496504399000,1496504417000,1496504428000]"	"[""sportinglife.com""]"	17	6	3
sportinglife.com*	826	576	skybet.com	6	pick7.sportinglife.com	skybet.com	nlhclb48ooqhc5bkbmo65bff70c	"[""pick7.sportinglife.com"",""pick7.sportinglife.com"",""pick7.sportinglife.com/play"",""pick7.sportinglife.com""]"	"[1496758067000,1496758070000,1496758074000,1496758077000]"	"[""pick7.sportinglife.com""]"	17	6	6
sportinglife.com*	826	739	skybet.com	5	sportinglife.com/racing/results	skybet.com/horse-racing	31d2e9ef-22de-f385-2eb6-f5b4bfdd09ee	"[""sportinglife.com/racing/results"",""sportinglife.com/racing/results/2017-06-21/royal-ascot/426079/royal-hunt-cup-(handicap)-(str)""]"	"[1498062267000,1498062281000]"	"[""sportinglife.com/racing/results""]"	17	6	21
sportinglife.com*	826	1240	skybet.com	5	sportinglife.com/racing/results	skybet.com/?dcmp=emc-bet-football-190617-hero&a=1197315724	308663b40bf0fea5be662af5a235c0f72a7b5b0c	"[""sportinglife.com/racing/results"",""sportinglife.com/racing/results/2017-06-28/kempton/433975/32red-handicap-(qualifier)"",""sportinglife.com/racing/results/2017-06-28/kempton/433976/32red-on-the-app-store-handicap-(qualifier)"",""sportinglife.com/racing/racecards/2017-06-28/kempton/racecard/433976/32red-on-the-app-store-handicap-(qualifier)"",""sportinglife.com/racing/racecards/2017-06-28/kempton/racecard/433977/'happy-70th-birthday-austin-allison'-handicap"",""sportinglife.com/racing/fast-results""]"	"[1498678136803,1498678180259,1498678192264,1498678213361,1498678230340,1498678244329]"	"[""sportinglife.com/racing/results""]"	17	6	28
sportinglife.com*	826	1240	skybet.com	5	sportinglife.com	skybet.com/horse-racing/musselburgh/event/20822376	73cdcde52381e8cad8277196dae45584393f68dd	"[""sportinglife.com"",""sportinglife.com/racing"",""sportinglife.com/racing/racecards"",""sportinglife.com/racing/racecards/2017-06-03/musselburgh/racecard/430188/edinburgh-gin's-edinburgh-cup-handicap"",""sportinglife.com/racing/racecards/2017-06-03/musselburgh/racecard/430188/edinburgh-gin's-edinburgh-cup-handicap""]"	"[1496499594282,1496499598833,1496499601722,1496499609089,1496499623437]"	"[""sportinglife.com""]"	17	6	3
sportinglife.com*	826	1240	skybet.com	5	pick7.sportinglife.com/?dcmp=bet_TN	skybet.com/secure/betting?action=import_user&user_string=0d4751fdc42c1873382ddd348dc52e08ba9e4a26cde49caf0c2846032d797806f6608578d1fe468945f568e4007b0081d371b5baad387502ab6946ee6c8408364a457a3dd15fd114a2&import_action=&last_login=08/06/2017_19:30	749400361b6e1fe9319aca592de64f3789d10657	"[""pick7.sportinglife.com/?dcmp=bet_TN"",""pick7.sportinglife.com/?dcmp=bet_TN"",""pick7.sportinglife.com/play"",""pick7.sportinglife.com/play#2"",""pick7.sportinglife.com/play#3"",""pick7.sportinglife.com/play#4"",""pick7.sportinglife.com/play#5"",""pick7.sportinglife.com/play#6"",""pick7.sportinglife.com/play#7"",""pick7.sportinglife.com/play#8"",""pick7.sportinglife.com/play#9"",""pick7.sportinglife.com/played#9""]"	"[1496958734618,1496958735617,1496958738829,1496958777354,1496958810259,1496958833358,1496958863337,1496958877236,1496958901389,1496958915354,1496958922256,1496958923693]"	"[""pick7.sportinglife.com/?dcmp=bet_TN""]"	17	6	8
