ga_learningset.site	ga_learningset.country	ga_learningset.pageviewmobile	ga_learningset.pageviewonline	ga_learningset.uniqmobile	ga_learningset.uniqonline	ga_learningset.visitsmobile	ga_learningset.visitsonline	ga_learningset.est_visits_mobile	ga_learningset.est_visits_desktop	ga_learningset.month	ga_learningset.year
103apteka.kz	643	1392	2023	1044	1521	1086	1569	1616.100955	3776.395259	4	17
103apteka.kz	643	1391	1950	1096	1492	1137	1547	1892.892458	22031.65977	5	17
103apteka.kz	643	1355	1846	1075	1455	1107	1489	1588.785078	6937.614637	6	17
104.ua	643	12082	18717	4205	6750	5071	8143	6370.630175	14564.33679	4	17
104.ua	643	15148	21428	4075	7982	4995	8997	9482.005262	4101.701896	5	17
104.ua	643	14153	16027	4691	6071	5381	6703	7174.30633	24432.31819	6	17
10kor.ru	643	56212	105089	15829	23731	17547	25668	18831.89384	50485.81731	4	17
10kor.ru	643	47933	104114	13720	26137	14965	27893	15235.21643	29321.79766	5	17
10kor.ru	643	43112	84276	13142	22174	14444	23622	16532.61864	37007.27246	6	17
10news.com	643	189	546	119	432	128	528	226.1357973	6094.646731	6	17
10times.com	643	3257	14419	1731	6039	1900	6640	4786.861812	526.2595866	4	17
10x10.co.kr	643	114	1178	30	351	39	429	216.2456011	3691.741498	4	17
10x10.co.kr	643	6	626	3	243	6	267	305.2719603	2369.96594	5	17
110km.ru	643	1244047	2205423	255632	327566	283447	355889	476375.8678	255779.4795	4	17
110km.ru	643	1312733	2300835	236051	332907	263210	360511	412257.4669	289804.4943	5	17
110km.ru	643	1278447	2132633	196994	303367	223107	330368	325143.2794	251364.1172	6	17
110percent.today	643	38	1042	35	1010	35	1019	1239.762075	5749.642452	4	17
112.international	643	300	873	237	567	244	628	690.1200575	3883.250746	4	17
112.international	643	863	1409	471	956	537	1016	1942.316339	0	5	17
112.international	643	538	704	311	447	378	490	1020.409854	0	6	17
1188.lv	643	2893	5526	977	2066	1068	2187	1747.898057	26374.7156	4	17
1188.lv	643	3035	5345	1024	2180	1180	2313	1625.608773	4759.13491	5	17
11oyun.com	643	233	743	73	292	76	295	105.4388284	2082.298762	4	17
11street.my	643	1390	6091	917	2043	994	2148	2559.694092	2538.960812	4	17
123.ru	643	276724	865022	113380	304682	129868	369322	649271.8403	253816.8594	5	17
123.ru	643	280384	897694	108806	311820	124760	380566	712617.3322	208489.2732	6	17
123doc.org	643	150	3777	125	2066	150	2218	2275.095771	2855.933767	4	17
123doc.org	643	60	2683	60	1688	60	1907	1924.64083	4291.353916	5	17
123doc.org	643	21	1287	15	826	21	937	1205.302195	693.1399629	6	17
123greetingsquotes.com	643	224	354	173	345	190	345	18.95659422	1667.747351	4	17
123movies.pk	643	58	83	20	24	23	29	46.52052061	4697.090947	5	17
123music.to	643	2132	2020	586	473	655	522	670.1199352	2144.148576	4	17
123music.to	643	2840	2065	799	731	887	789	1706.739212	471.9991622	5	17
123music.to	643	2254	1827	759	829	816	933	2349.870155	9208.742881	6	17
123zaidimai.lt	643	523	144	198	78	207	82	143.571946	0	4	17
12ballov.net	643	1135	2739	566	1946	616	2070	1537.714876	6085.165482	4	17
12ballov.net	643	1212	1781	916	1333	953	1395	739.6094216	2829.121906	5	17
12go.asia	643	7243	17849	1890	3721	2343	4921	6877.391549	5374.143012	4	17
12go.asia	643	5995	16275	1572	3404	1923	4557	7711.835328	0	5	17
12knots.ru	643	6429	14292	2489	3956	2789	4570	4404.741606	8097.665523	5	17
12knots.ru	643	9007	20754	3402	4912	3939	5896	6038.210633	0	6	17
12storeez.com	643	801082	292941	85753	29896	119457	43303	21370.58279	16713.73295	4	17
12storeez.com	643	867459	288083	90828	29312	122432	41470	21247.47407	16592.94436	5	17
12storeez.com	643	835256	289070	101985	31239	134824	43366	26223.64505	5321.187113	6	17
13angels.ru	643	6923	5841	3228	2137	3449	2329	2140.383242	4897.386123	4	17
13byblackstar.ru	643	15240	5031	12320	4398	13577	4756	6088.850859	8797.058804	5	17
13byblackstar.ru	643	13696	4698	10673	3967	11978	4376	5431.258091	3322.127521	6	17
13newsnow.com	643	95	214	59	170	61	179	229.7803681	5788.138095	6	17
1428elm.com	643	111	446	92	291	96	295	969.9824502	4382.224543	5	17
15-sotok.ru	643	32235	73225	10053	20371	11573	23642	28078.30219	11760.56004	4	17
15-sotok.ru	643	68727	131737	21287	37337	24851	43070	50334.48261	25444.41728	5	17
15-sotok.ru	643	41474	81287	13646	24271	15589	27459	33088.01749	27023.43127	6	17
15min.lt	643	78656	23734	17747	7459	28480	9914	8965.312118	15330.10038	5	17
