monthlysourcecountrydis.site	monthlysourcecountrydis.country	monthlysourcecountrydis.source	monthlysourcecountrydis.visits	monthlysourcecountrydis.monthly_uniques	monthlysourcecountrydis.sum_dau	monthlysourcecountrydis.year	monthlysourcecountrydis.month
files.swissquote.com	643	1814	1	1	1	17	3
fr.swissquote.com	756	19601	1	1	1	17	3
es.swissquote.com	170	1940	1	1	1	17	1
en.swissquote.com	380	1586	1	1	1	17	2
files.swissquote.com	380	1739	10	1	10	17	2
en.swissquote.com	144	1587	1	1	1	17	2
fr.swissquote.com	250	1940	1	1	1	17	2
en.swissquote.com	566	1587	1	1	1	17	2
en.swissquote.com	380	13020	1	1	1	17	2
files.swissquote.com	112	1586	20	1	18	17	2
fr.swissquote.com	250	1242	1	1	1	17	2
apply.swissquote.com	705	1560	2	1	2	17	2
en.swissquote.com	300	1940	1	1	1	17	2
en.swissquote.com	784	1550	2	1	2	17	3
livechat2.swissquote.com	398	1240	1	1	1	17	3
ru.swissquote.com	376	1586	1	1	1	17	3
en.swissquote.com	840	1550	2	1	2	17	4
en.swissquote.com	188	1549	1	1	1	17	4
files.swissquote.com	586	1822	1	1	1	17	4
en.swissquote.com	710	1240	10	1	6	17	1
en.swissquote.com	764	1242	1	1	1	17	1
fr.swissquote.com	756	13017	1	1	1	17	1
demo-wt.swissquote.com	398	1240	4	1	2	17	1
files.swissquote.com	710	1240	9	1	9	17	1
apply.swissquote.com	356	1587	2	1	2	17	1
es.swissquote.com	300	1240	1	1	1	17	1
forms.swissquote.com	756	1940	1	1	1	17	1
ar.swissquote.com	512	1586	1	1	1	17	1
de.swissquote.com	756	1241	11	8	11	17	1
fr.swissquote.com	250	1587	1	1	1	17	1
apply.swissquote.com	682	1586	1	1	1	17	1
de.swissquote.com	124	1240	1	1	1	17	1
ar.swissquote.com	643	123017	1	1	1	17	1
en.swissquote.com	620	1822	1	1	1	17	1
files.swissquote.com	756	1587	1	1	1	17	1
ru.swissquote.com	804	1244	3	2	2	17	1
wt.swissquote.com	756	13010	4	1	3	17	1
en.swissquote.com	50	1586	2	1	2	17	1
advancedtrader.swissquote.com	792	1587	1	1	1	17	2
fr.swissquote.com	250	1240	1	1	1	17	2
en.swissquote.com	784	1586	2	2	2	17	2
apply.swissquote.com	840	1586	1	1	1	17	1
ar.swissquote.com	682	1578	1	1	1	17	1
ru.swissquote.com	643	1245	1	1	1	17	1
ar.swissquote.com	818	1587	1	1	1	17	1
en.swissquote.com	804	1244	1	1	1	17	1
en.swissquote.com	682	1586	2	2	2	17	1
files.swissquote.com	380	1940	1	1	1	17	1
tw.swissquote.com	158	13004	1	1	1	17	1
de.swissquote.com	756	199090	1	1	1	17	2
en.swissquote.com	760	123017	1	1	1	17	2
ar.swissquote.com	400	1240	1	1	1	17	3
files.swissquote.com	705	1940	1	1	1	17	3
en.swissquote.com	392	123017	1	1	1	17	3
en.swissquote.com	643	1240	2	2	2	17	3
en.swissquote.com	705	1822	1	1	1	17	3
en.swissquote.com	792	123017	15	2	11	17	3
swissquote.com	682	1240	1	1	1	17	3
cn.swissquote.com	156	1240	2	1	2	17	3
en.swissquote.com	682	1240	2	2	2	17	3
cn.swissquote.com	156	13001	4	1	1	17	4
en.swissquote.com	682	13017	1	1	1	17	4
files.swissquote.com	860	123017	10	1	8	17	4
en.swissquote.com	376	1240	2	2	2	17	1
en.swissquote.com	756	12	13	1	9	17	1
en.swissquote.com	250	1940	1	1	1	17	1
it.swissquote.com	380	1940	3	2	3	17	1
livechat2.swissquote.com	360	1587	1	1	1	17	1
ar.swissquote.com	784	1586	1	1	1	17	2
en.swissquote.com	756	199090	1	1	1	17	2
en.swissquote.com	804	1560	2	2	2	17	2
en.swissquote.com	840	1586	1	1	1	17	2
tw.swissquote.com	158	1560	1	1	1	17	2
ar.swissquote.com	756	1560	3	1	3	17	2
demo-wt.swissquote.com	356	1586	1	1	1	17	2
ar.swissquote.com	756	1240	1	1	1	17	2
en.swissquote.com	84044	1587	1	1	1	17	2
en.swissquote.com	643	1580	1	1	1	17	3
es.swissquote.com	724	1940	2	2	2	17	3
tw.swissquote.com	158	1808	4	2	3	17	3
livechat2.swissquote.com	705	1560	1	1	1	17	4
en.swissquote.com	643	1586	2	2	2	17	4
demo-wt.swissquote.com	643	1814	1	1	1	17	1
files.swissquote.com	703	1241	1	1	1	17	1
apply.swissquote.com	414	1587	1	1	1	17	1
ar.swissquote.com	12	1586	1	1	1	17	1
ar.swissquote.com	376	1560	1	1	1	17	1
ar.swissquote.com	250	1587	1	1	1	17	1
en.swissquote.com	643	1560	3	3	3	17	1
es.swissquote.com	484	1560	1	1	1	17	1
apply.swissquote.com	643	1586	5	5	5	17	1
de.swissquote.com	276	13017	2	2	2	17	1
en.swissquote.com	124	1586	1	1	1	17	1
files.swissquote.com	784	13017	2	1	1	17	1
apply.swissquote.com	682	1576	2	2	2	17	1
en.swissquote.com	840	13017	1	1	1	17	1
fr.swissquote.com	504	1240	1	1	1	17	1
en.swissquote.com	84032	1240	1	1	1	17	1
demo-advancedtrader.swissquote.com	156	1661	1	1	1	17	3
en.staging.swissquote.com	756	1560	1	1	1	17	3
livechat2.swissquote.com	380	1940	2	1	1	17	3
ar.swissquote.com	818	1586	1	1	1	17	3
fr.swissquote.com	756	1587	2	1	2	17	3
en.swissquote.com	203	1822	2	1	2	17	3
en.swissquote.com	682	1577	2	1	2	17	3
files.swissquote.com	112	1586	15	1	12	17	3
fr.swissquote.com	250	1242	6	1	3	17	3
livechat2.swissquote.com	643	13017	3	2	3	17	3
de.swissquote.com	756	1240	21	12	18	17	3
mailing.swissquote.com	380	1240	1	1	1	17	3
en.swissquote.com	8	1560	1	1	1	17	3
