site	country	oldest	newest	year	month	ga
garnier.fr*	250	121342.2069	373078.4368	16	5	230202
garnier.fr*	250	103957.4514	394904.2995	16	1	195561
garnier.fr*	250	151291.7372	395966.4047	16	9	179603
garnier.fr*	250	175171.8087	402731.0703	16	12	190889
garnier.fr*	250	132789.6856	425887.1565	16	6	244272
garnier.fr*	250	171365.9779	440185.6775	16	8	208746
garnier.fr*	250	176575.4242	456480.5075	17	3	222657
garnier.fr*	250	192628.6956	501528.1034	17	5	349685
lancome.co.uk*	826	52321.31557	83059.07996	17	5	108466
lancome.co.uk*	826	73567.998	92591.39451	17	4	132694
lancome.co.uk*	826	72075.79962	107377.1232	17	2	169161
lancome.co.uk*	826	135497.3349	175264.3365	17	1	151012
lancome.co.uk*	826	106637.2033	194797.5753	17	3	186006
laroche-posay.es*	724	53022.3318	140906.4348	17	4	180693
laroche-posay.es*	724	69236.05427	165515.2676	17	1	225208
laroche-posay.es*	724	69542.06276	179020.8286	17	5	170376
laroche-posay.es*	724	75652.84463	183006.9609	17	2	232190
laroche-posay.es*	724	83711.39237	208252.642	17	3	229346
laroche-posay.fr*	250	94117.21262	195527.7319	17	2	158538
laroche-posay.fr*	250	86136.1843	197292.9877	17	5	195232
laroche-posay.fr*	250	108716.2214	226814.2355	17	4	187787
laroche-posay.fr*	250	132867.4539	257391.6721	17	3	206076
laroche-posay.fr*	250	149649.1354	289107.6661	17	1	228739
laroche-posay.ru*	643	67957.68541	187206.7058	17	1	196675
laroche-posay.ru*	643	75732.93935	197066.0536	17	2	207797
laroche-posay.ru*	643	88420.11059	244793.7579	17	5	235073
laroche-posay.ru*	643	106513.218	249111.7546	17	4	253693
laroche-posay.ru*	643	137680.895	285621.0733	17	3	266184
larocheposay.de*	276	65448.79684	206205.0259	17	2	121750
larocheposay.de*	276	72592.90174	225758.0832	17	5	138387
larocheposay.de*	276	78169.06033	232174.5479	17	4	151187
larocheposay.de*	276	81221.80747	247669.2707	17	1	117169
larocheposay.de*	276	78149.28072	273295.0947	17	3	217368
loreal-paris.co.uk*	826	213749.8716	285614.5558	17	4	372893
loreal-paris.co.uk*	826	176122.6332	318721.6886	17	5	316106
loreal-paris.co.uk*	826	257461.0926	389763.9431	17	2	424586
loreal-paris.co.uk*	826	309842.1497	450879.0999	17	1	419477
loreal-paris.co.uk*	826	332723.1152	534353.7738	17	3	518941
loreal-paris.ru*	643	177277.4417	712335.2117	17	2	268471
loreal-paris.ru*	643	216571.4687	904412.4272	17	4	401207
loreal-paris.ru*	643	230198.6856	1053529.944	17	3	336259
loreal-paris.ru*	643	302118.8177	1217014.937	17	1	443751
loreal-paris.ru*	643	400552.7257	1712385.541	17	5	775450
