ga_analysis.dt	ga_analysis.site	ga_analysis.country	ga_analysis.pageviewmobile	ga_analysis.pageviewonline	ga_analysis.uniqmobile	ga_analysis.uniqonline	ga_analysis.visitsmobile	ga_analysis.visitsonline	ga_analysis.source	ga_analysis.weight	ga_analysis.year	ga_analysis.month	ga_analysis.panel_mobile_raw_visits	ga_analysis.panel_mobile_est_visits	ga_analysis.panel_desktop_raw_visits	ga_analysis.panel_desktop_est_visits
201705	airbnb.dk	208	925014.0	2405730.0	271964.0	311182.0	337798.0	429041.0	ga	0.3	17	5	7.0	234877.0429928253	1491.4190476190474	245433.20450446013
201701	blablacar.ro	208	3182.0	2184.0	320.0	253.0	468.0	323.0	ga	0.3	17	1	0.0	0.0	11.885714285714286	1413.970423409347
201703	carwale.com	208	5671.0	9937.0	792.0	1332.0	864.0	1479.0	ga	0.3	17	3	0.0	13620.50358160201	7.0	1320.4794722632844
201701	deavita.com	208	2303.0	1248.0	1181.0	630.0	1310.0	714.0	ga	0.3	17	1	0.0	0.0	7.0	942.1647758590701
201702	elcinema.com	208	7561.0	1725.0	2655.0	697.0	2924.0	746.0	ga	0.3	17	2	6.0	62398.444033319785	14.6	2637.295928676095
201704	eriksorensenvin.dk	208	22379.0	26027.0	9233.0	6732.0	10352.0	7766.0	ga	0.3	17	4	0.0	0.0	28.0	4610.269746283408
201705	expedia.dk	208	791936.0	1288452.0	183400.0	179711.0	213151.0	221620.0	ga	0.3	17	5	19.0	483336.660988416	653.6380952380954	107864.50875583147
201704	fossil.com	208	8742.0	6566.0	1925.0	1374.0	2242.0	1550.0	ga	0.3	17	4	0.0	0.0	23.685714285714283	3989.637709193055
201702	goole.de	208	48.0	308.0	37.0	279.0	37.0	287.0	ga	0.3	17	2	0.0	0.0	1.0	258.6298625847691
201702	idigitaltimes.com	208	20062.0	53807.0	14576.0	12124.0	16743.0	13142.0	ga	0.3	17	2	3.0	51023.46334070832	194.6	27914.82236858011
201702	lensrentals.com	208	125.0	517.0	45.0	204.0	54.0	264.0	qc	0.5	17	2	1.0	26750.048066327316	4.0	642.2863337316269
201701	marijuana.com	208	2143.0	1222.0	1616.0	974.0	1846.0	1040.0	qc	0.5	17	1	3.0	56985.477690683925	25.200000000000003	2614.391943631388
201703	mediaite.com	208	5899.0	4640.0	2987.0	2101.0	4127.0	2811.0	qc	0.5	17	3	0.0	0.0	32.6	5102.2667842894525
