ga_analysis.dt	ga_analysis.site	ga_analysis.country	ga_analysis.pageviewmobile	ga_analysis.pageviewonline	ga_analysis.uniqmobile	ga_analysis.uniqonline	ga_analysis.visitsmobile	ga_analysis.visitsonline	ga_analysis.year	ga_analysis.month	ga_analysis.panel_raw_visits	ga_analysis.panel_est_visits	ga_analysis.panel_page_views
201601	cookinglight.com	356	412242.0	151961.0	162251.0	68195.0	171154.0	70800.0	16	1	1374.0	156148.557043899	416678.8017415189
201702	coupondunia.in	356	2834664.0	1974315.0	817189.0	710966.0	924447.0	793771.0	17	2	750.0	217737.5014594362	271012.4302692877
201603	curejoy.com	356	4073677.0	547843.0	2023686.0	268808.0	2403655.0	320636.0	16	3	9009.0	968307.3937814238	1444868.2498105154
201612	dailydot.com	356	128730.0	81764.0	100492.0	49040.0	104305.0	51985.0	16	12	158.0	52040.85725386512	59632.777013606836
201608	dailyuploads.net	356	319333.0	579477.0	137105.0	239747.0	150610.0	261193.0	16	8	623.0	279783.60460449575	363896.59187943407
201605	depor.com	356	443592.0	11033.0	98415.0	4421.0	159330.0	5658.0	16	5	0.0	100.34553320280449	100.34553320280449
201611	desinema.com	356	215909.0	84131.0	164148.0	58815.0	170580.0	61210.0	16	11	412.0	78260.82366354187	101347.70163375123
201612	desitales.com	356	3236594.0	617457.0	621249.0	142108.0	680921.0	153862.0	16	12	1087.0	139328.99924356147	445193.0590198205
201702	dhamaalshop.com	356	542993.0	50256.0	155853.0	12928.0	164911.0	14407.0	17	2	120.0	27822.580451796617	99384.37290981183
201608	djmazamp3.xyz	356	509765.0	320878.0	196533.0	98928.0	212242.0	106078.0	16	8	1620.0	119847.76444403436	352106.1208588791
201601	exposedwebcams.com	356	0.0	0.0	125210.0	251022.0	131746.0	304352.0	16	1	32.0	8709.122597898879	9333.043011917474
201611	faadooengineers.com	356	1884976.0	1652194.0	281061.0	221284.0	326942.0	246339.0	16	11	1632.0	207043.82114729605	462916.24708742445
201608	fiverr.com	356	454991.0	5654867.0	75992.0	378596.0	108769.0	764721.0	16	8	529.0	506091.4338706378	2365665.418493673
201608	flintobox.com	356	248553.0	228127.0	121456.0	108261.0	136461.0	127811.0	16	8	637.0	105108.88938519833	132345.21821242454
201601	freeones.com	356	0.0	0.0	286021.0	242241.0	322265.0	274873.0	16	1	793.0	198209.95872791833	305940.3170897468
201602	freshersworld.com	356	0.0	0.0	1229965.0	2086889.0	1468077.0	2457383.0	16	2	8320.0	1515068.4276685715	4110979.3223671326
201601	ganeshaspeaks.com	356	9818965.0	2698958.0	1787645.0	624231.0	2260713.0	711620.0	16	1	11913.0	1397145.8585563598	4724993.148084255
201610	globalsources.com	356	511023.0	687281.0	210804.0	388673.0	228115.0	413775.0	16	10	374.0	67113.48967232557	88857.28242516039
201612	greatandhra.com	356	1.7566379E7	1.6431464E7	2404849.0	1688943.0	3930192.0	2696921.0	16	12	2138.0	830322.8453710917	1316032.3618874648
201601	greatist.com	356	209158.0	116202.0	144340.0	79853.0	151268.0	83946.0	16	1	1458.0	201593.74361135846	231829.66298914308
