site	country	platform	rawvisits	estimatedvisits	year	month
business.panasonic.com	784	desktop	12.4	3018.160112	16	4
business.panasonic.com	84016	desktop	1	180.8032602	16	4
business.panasonic.com	84048	desktop	54.61818182	9019.132548	16	4
business.panasonic.com	8401	desktop	4	979.0177061	16	4
business.panasonic.com	84017	desktop	35.8	4207.285584	16	4
business.panasonic.com	84049	desktop	4	400.064918	16	4
business.panasonic.com	50	desktop	2	224.149181	16	4
business.panasonic.com	434	desktop	1	74.69440027	16	4
business.panasonic.com	818	desktop	4	344.3229261	16	4
business.panasonic.com	8402	desktop	1	296.2747315	16	4
business.panasonic.com	84018	desktop	4	637.0373903	16	4
business.panasonic.com	84050	desktop	2.6	237.3428924	16	4
business.panasonic.com	51	desktop	2.6	236.8200261	16	4
business.panasonic.com	275	desktop	2	245.032753	16	4
business.panasonic.com	84019	desktop	4	510.107256	16	4
business.panasonic.com	84051	desktop	21.21818182	2419.860748	16	4
business.panasonic.com	116	desktop	1	97.56265876	16	4
business.panasonic.com	276	desktop	104	4689.992997	16	4
business.panasonic.com	372	desktop	4	613.4217717	16	4
business.panasonic.com	404	desktop	1	254.223436	16	4
business.panasonic.com	724	desktop	19	3489.954587	16	4
business.panasonic.com	756	desktop	7.6	962.9640207	16	4
business.panasonic.com	788	desktop	2	212.6921346	16	4
business.panasonic.com	8404	desktop	22	3099.746484	16	4
business.panasonic.com	84020	desktop	3	500.7842533	16	4
business.panasonic.com	8405	desktop	2	388.7711469	16	4
business.panasonic.com	84021	desktop	6.6	1310.935429	16	4
business.panasonic.com	84053	desktop	16	1779.840955	16	4
business.panasonic.com	214	desktop	2	253.0092537	16	4
business.panasonic.com	246	desktop	10.6	818.5350784	16	4
business.panasonic.com	470	desktop	2	412.2082644	16	4
business.panasonic.com	854	desktop	1	486.5571704	16	4
business.panasonic.com	8406	desktop	111.7310345	11228.29552	16	4
business.panasonic.com	84022	desktop	2	658.2751746	16	4
business.panasonic.com	84054	desktop	4	1343.365354	16	4
business.panasonic.com	84023	desktop	4	546.4614478	16	4
business.panasonic.com	84055	desktop	10	878.9352593	16	4
business.panasonic.com	56	desktop	6	807.1652928	16	4
business.panasonic.com	152	desktop	2	297.2767528	16	4
business.panasonic.com	344	desktop	8.6	866.7687389	16	4
business.panasonic.com	376	desktop	15.2	1544.249297	16	4
business.panasonic.com	440	desktop	6	797.0172308	16	4
business.panasonic.com	504	desktop	1	103.5274287	16	4
business.panasonic.com	600	desktop	1	101.6791402	16	4
business.panasonic.com	760	desktop	1	75.13850634	16	4
business.panasonic.com	792	desktop	11	3098.480806	16	4
business.panasonic.com	8408	desktop	15	2068.623803	16	4
business.panasonic.com	84024	desktop	11.8	1637.085929	16	4
business.panasonic.com	8409	desktop	9	1114.47336	16	4
business.panasonic.com	84025	desktop	15	1702.450698	16	4
business.panasonic.com	218	desktop	2	316.5209269	16	4
business.panasonic.com	250	desktop	19	1920.406334	16	4
business.panasonic.com	410	desktop	7.6	589.2561971	16	4
business.panasonic.com	826	desktop	31.28571429	5233.87865	16	4
business.panasonic.com	84026	desktop	15	1863.169692	16	4
business.panasonic.com	84027	desktop	17.6	2587.225291	16	4
business.panasonic.com	124	desktop	75.46666667	9777.126003	16	4
business.panasonic.com	156	desktop	2	350.0700643	16	4
business.panasonic.com	188	desktop	1	73.25365052	16	4
business.panasonic.com	348	desktop	4	556.2458204	16	4
business.panasonic.com	380	desktop	14	2357.930671	16	4
business.panasonic.com	604	desktop	3.6	597.796224	16	4
business.panasonic.com	764	desktop	15.6	2341.20813	16	4
business.panasonic.com	84028	desktop	1	391.2310061	16	4
business.panasonic.com	84029	desktop	18.6	2191.565129	16	4
business.panasonic.com	158	desktop	14	1296.049988	16	4
business.panasonic.com	222	desktop	1	110.9722764	16	4
business.panasonic.com	414	desktop	1	92.88233823	16	4
business.panasonic.com	702	desktop	9	974.9152834	16	4
business.panasonic.com	84030	desktop	3.6	804.4033252	16	4
business.panasonic.com	703	desktop	2	369.1132929	16	4
business.panasonic.com	84031	desktop	1	137.0812191	16	4
business.panasonic.com	32	desktop	3	491.1527746	16	4
business.panasonic.com	96	desktop	3.6	250.509886	16	4
business.panasonic.com	192	desktop	1	575.4464216	16	4
business.panasonic.com	320	desktop	4	477.7524733	16	4
business.panasonic.com	352	desktop	3	571.0853901	16	4
business.panasonic.com	480	desktop	1	83.57344754	16	4
business.panasonic.com	512	desktop	1	89.08345681	16	4
business.panasonic.com	608	desktop	7	1430.224568	16	4
business.panasonic.com	704	desktop	7	1686.311421	16	4
business.panasonic.com	84032	desktop	6.6	849.1391625	16	4
business.panasonic.com	417	desktop	2	53.63164722	16	4
business.panasonic.com	705	desktop	3.6	302.2577597	16	4
business.panasonic.com	84033	desktop	3	430.3051353	16	4
business.panasonic.com	578	desktop	7	1135.160235	16	4
business.panasonic.com	642	desktop	3	435.5669256	16	4
business.panasonic.com	834	desktop	1	17.32561494	16	4
business.panasonic.com	84034	desktop	17	2191.012499	16	4
business.panasonic.com	643	desktop	184.2857143	2070.544414	16	4
business.panasonic.com	84035	desktop	2	478.6716358	16	4
business.panasonic.com	36	desktop	42.8	5362.115278	16	4
business.panasonic.com	68	desktop	3.6	543.5576232	16	4
business.panasonic.com	100	desktop	4	464.8904429	16	4
business.panasonic.com	356	desktop	24.2	5305.305192	16	4
business.panasonic.com	388	desktop	1	76.58304972	16	4
business.panasonic.com	484	desktop	21.6	3708.171017	16	4
business.panasonic.com	580	desktop	1	187.011077	16	4
business.panasonic.com	804	desktop	25.6	999.4870805	16	4
