apps_usage_source.app	apps_usage_source.source	apps_usage_source.country	apps_usage_source.devices	apps_usage_source.users	apps_usage_source.dailyinstalls	apps_usage_source.dailyuninstalls	apps_usage_source.dailyupdates	apps_usage_source.sessions	apps_usage_source.usagetime	apps_usage_source.sessionsquared	apps_usage_source.realsessionsquared	apps_usage_source.usagesquared	apps_usage_source.isinstalled	apps_usage_source.isuninstalled	apps_usage_source.qualified_active_users	apps_usage_source.year	apps_usage_source.month	apps_usage_source.day
com.marathimatrimony	902	356	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	16	2	27
com.bengalimatrimony	966	356	17.0	4.0	1.0	0.0	0.0	10.0	6019.183000000001	20.0	36.0	2.4415626952059E7	1.0	0.0	6.0	16	2	27
com.marathimatrimony	961	356	4.0	4.0	0.0	0.0	0.0	5.0	1430.1229999999998	1.0	7.0	1289734.6907029997	0.0	0.0	4.0	16	2	19
com.kannadamatrimony	955	356	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16	2	27
com.marathimatrimony	5003	356	28.0	5.0	0.0	0.0	0.0	11.0	2741.7859999999996	14.0	31.0	4173342.548102	0.0	0.0	12.0	16	2	26
com.bengalimatrimony	5084	356	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16	2	19
com.kannadamatrimony	5048	356	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16	2	20
com.marathimatrimony	961	356	5.0	1.0	0.0	0.0	0.0	3.0	1780.268	4.0	9.0	3169354.1518240003	0.0	0.0	4.0	16	2	20
com.bengalimatrimony	5003	356	14.0	3.0	0.0	0.0	0.0	7.0	880.095	10.0	21.0	365472.8844210001	0.0	0.0	8.0	16	2	27
com.marathimatrimony	5048	356	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16	2	27
com.kannadamatrimony	5019	356	15.0	6.0	0.0	0.0	0.0	16.0	4396.296	42.0	68.0	7721285.75619	0.0	0.0	8.0	16	2	27
com.bengalimatrimony	966	356	18.0	5.0	0.0	0.0	0.0	28.0	10655.489	213.0	264.0	6.077170070815301E7	0.0	0.0	7.0	16	2	19
com.marathimatrimony	951	356	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16	2	26
com.marathimatrimony	990	356	16.0	6.0	0.0	1.0	0.0	12.0	1551.071	36.0	54.0	575485.073103	0.0	1.0	10.0	16	2	20
com.marathimatrimony	5089	356	1.0	1.0	0.0	0.0	0.0	1.0	60.001	0.0	1.0	3600.120001	0.0	0.0	1.0	16	2	20
