ts	source_id	sub_id	user_id	session_id	user_ip	country_id	user_agent	is_from_one_way	is_link	http_referer	previous_site	requested_site	http_code	http_redirect_to_url	content_type	application_name	is_from_browser	version	client_redirect	client_redirect_duration	version_number	server_redirect	ip_hash	year	month	day	app
1493406535	550	chrome	jdko5mq1djs4e3ninrn0o21o75a		65.51.107.0	840		0	0	http://www.enjukuracing.com/products/universal-battery-cut-off-switch-with-6-pole-and-alternator-protection.html	http://www.enjukuracing.com/products/isr-performance-l-shaped-hydraulic-handbrake-e-brake.html	http://www.enjukuracing.com/products/isr-performance-l-shaped-hydraulic-handbrake-e-brake.html	0								5.0.4		37d69704a91cfe267c38e5d1700bb3a2	17	4	28	kafka-consumer-a03
1493406539	550	chrome	jdko5mq1djs4e3ninrn0o21o75a		65.51.107.0	840		0	0	https://www.apexvs.com/	http://www.enjukuracing.com/products/isr-performance-l-shaped-hydraulic-handbrake-e-brake.html	https://www.apexvs.com/ApexUI/default.aspx	0								5.0.4		37d69704a91cfe267c38e5d1700bb3a2	17	4	28	kafka-consumer-a03
1493406559	550	chrome	jdko5mq1djs4e3ninrn0o21o75a		65.51.107.0	840		0	0	https://www.apexvs.com/ApexUI/default.aspx	https://www.apexvs.com/ApexUI/default.aspx	https://www.apexvs.com/lms/	0								5.0.4		37d69704a91cfe267c38e5d1700bb3a2	17	4	28	kafka-consumer-a03
1493406560	550	chrome	jdko5mq1djs4e3ninrn0o21o75a		65.51.107.0	840		0	0		https://www.apexvs.com/lms/	https://www.apexvs.com/lms/#!page/DashBoard	0								5.0.4		37d69704a91cfe267c38e5d1700bb3a2	17	4	28	kafka-consumer-a03
1493406671	550	chrome	jdko5mq1djs4e3ninrn0o21o75a		65.51.107.0	840		0	0	https://www.apexvs.com/lms/	https://www.apexvs.com/lms/#!page/DashBoard	https://reports-prd.apexvs.com/ApexUI/Reports/Student/courseActivityScoreReport.aspx?enrollmentID=37052608&refer=spr	0								5.0.4		37d69704a91cfe267c38e5d1700bb3a2	17	4	28	kafka-consumer-a03
1493407032	550	chrome	jdko5mq1djs4e3ninrn0o21o75a		65.51.107.0	840		0	0	https://www.apexvs.com/lms/	https://www.apexvs.com/lms/#!page/DashBoard	http://courses-prd.apexlearning.com/apps/AceWeb/launch2.do?enrollmentID=37052608&outlineID=771833998&launchRedirect=true&role=S	0								5.0.4		37d69704a91cfe267c38e5d1700bb3a2	17	4	28	kafka-consumer-a03
1493407034	550	chrome	jdko5mq1djs4e3ninrn0o21o75a		65.51.107.0	840		0	0	http://courses-prd.apexlearning.com/apps/AceWeb/launch2.do?enrollmentID=37052608&outlineID=771833998&launchRedirect=true&role=S	http://courses-prd.apexlearning.com/apps/AceWeb/launch2.do?enrollmentID=37052608&outlineID=771833998&launchRedirect=true&role=S	http://courses-prd.apexlearning.com/apps/AceWeb/launch2.do?enrollmentID=37052608&role=S&outlineID=771833998&section=0&page=2	0								5.0.4		37d69704a91cfe267c38e5d1700bb3a2	17	4	28	kafka-consumer-a03
1493407041	550	chrome	jdko5mq1djs4e3ninrn0o21o75a		65.51.107.0	840		0	0	http://courses-prd.apexlearning.com/apps/AceWeb/launch2.do?enrollmentID=37052608&role=S&outlineID=771833998&section=0&page=2	http://courses-prd.apexlearning.com/apps/AceWeb/launch2.do?enrollmentID=37052608&role=S&outlineID=771833998&section=0&page=2	http://courses-prd.apexlearning.com/apps/AceWeb/launch2.do?enrollmentID=37052608&role=S&outlineID=771833999	0								5.0.4		37d69704a91cfe267c38e5d1700bb3a2	17	4	28	kafka-consumer-a03
1493407046	550	chrome	jdko5mq1djs4e3ninrn0o21o75a		65.51.107.0	840		0	0	http://courses-prd.apexlearning.com/apps/AceWeb/launch2.do?enrollmentID=37052608&role=S&outlineID=771833999	http://courses-prd.apexlearning.com/apps/AceWeb/launch2.do?enrollmentID=37052608&role=S&outlineID=771833999	http://courses-prd.apexlearning.com/apps/AceWeb/launch2.do?enrollmentID=37052608&role=S&outlineID=771833999&section=0&page=2	0								5.0.4		37d69704a91cfe267c38e5d1700bb3a2	17	4	28	kafka-consumer-a03
1493407897	550	chrome	jdko5mq1djs4e3ninrn0o21o75a		65.51.107.0	840		0	0		https://www.apexvs.com/lms/#!page/DashBoard	https://www.google.com/search?q=In+the+diagram+below%2C+and+are+tangent+to+O.+What+is+the+measure+of+B%3F&oq=In+the+diagram+below%2C+and+are+tangent+to+O.+What+is+the+measure+of+B%3F&aqs=chrome..69i57j0l2.1142j0j7&sourceid=chrome&ie=UTF-8	0								5.0.4		37d69704a91cfe267c38e5d1700bb3a2	17	4	28	kafka-consumer-a03
