app	devices	source	users	sessions	usagetime	qualified_active_users	year	month	day
com.venmo	162	5424	0	0	0	32	17	4	14
com.venmo	12	5067	0	0	0	2	17	4	14
com.venmo	84	981	2	2	239.869	41	17	4	14
com.venmo	2	656	0	0	0	1	17	4	13
com.venmo	20	655	0	0	0	12	17	4	14
com.venmo	49	5197	1	1	14.672	17	17	4	14
com.venmo	527	5482	38	56	14530.281	333	17	4	14
com.venmo	22	5059	2	3	325.907	18	17	4	14
com.venmo	12	878	0	0	0	7	17	4	14
com.venmo	2	905	0	0	0	1	17	4	14
com.venmo	667	5087	19	23	2701.796	281	17	4	14
com.venmo	5823	5119	68	95	7064.804	2562	17	4	14
com.venmo	1	652	0	0	0	0	17	4	14
com.venmo	69	877	2	3	160.004	48	17	4	14
com.venmo	10	904	1	1	407.861	7	17	4	14
com.venmo	191	955	6	8	3374.202	83	17	4	14
com.venmo	30	5149	0	0	0	18	17	4	14
com.venmo	3	5401	0	0	0	1	17	4	14
com.venmo	4236	952	63	123	7406.448	567	17	4	14
com.venmo	41	951	0	0	0	5	17	4	14
com.venmo	508	960	15	21	1540.719	308	17	4	14
com.venmo	24	5120	0	0	0	12	17	4	14
com.venmo	5	5134	0	0	0	1	17	4	14
com.venmo	5	654	0	0	0	3	17	4	14
com.venmo	121	957	5	5	228.545	61	17	4	14
com.venmo	40	990	1	2	68.072	22	17	4	14
com.venmo	2	5179	0	0	0	0	17	4	14
com.venmo	3	864	0	0	0	1	17	4	14
com.venmo	1551	5220	67	99	28719.668	720	17	4	14
com.venmo	71	5497	2	3	118.333	26	17	4	14
com.venmo	9328	5019	139	195	58044.474	2413	17	4	14
com.venmo	4	5130	0	0	0	1	17	4	14
com.venmo	12205	5304	210	327	94280.235	3648	17	4	14
com.venmo	5	5477	0	0	0	3	17	4	14
com.venmo	7	971	0	0	0	3	17	4	14
com.venmo	4	5415	1	6	219.962	1	17	4	14
com.venmo	1	870	0	0	0	1	17	4	14
com.venmo	65	966	7	11	697.749	34	17	4	14
com.venmo	26	5084	1	4	298.04	12	17	4	14
com.venmo	6	5129	0	0	0	4	17	4	14
com.venmo	54	5240	1	1	39.442	30	17	4	14
com.venmo	2	651	0	0	0	0	17	4	14
com.venmo	1	903	0	0	0	0	17	4	14
com.venmo	22	5072	0	0	0	20	17	4	14
com.venmo	1	650	0	0	0	0	17	4	14
com.venmo	15	902	0	0	0	5	17	4	14
com.venmo	32	5048	0	0	0	6	17	4	14
com.venmo	2	5126	0	0	0	2	17	4	14
com.venmo	3	5177	0	0	0	2	17	4	14
com.venmo	45	5180	1	1	910.401	24	17	4	14
com.venmo	57	5003	0	0	0	17	17	4	14
com.venmo	4	5160	0	0	0	3	17	4	14
com.venmo	2	656	0	0	0	1	17	4	14
com.venmo	4	5134	0	0	0	1	17	4	19
com.venmo	8	5125	1	1	80.003	6	17	4	19
com.venmo	6	883	0	0	0	6	17	4	19
com.venmo	338	961	7	12	36456.981	107	17	4	19
