site	country	weekbegins	weekends	direct	displayads	mail	organic_search	paid_search	referrals	social
oasis-stores.com*	999	24.07.2017	30.07.2017	0.329586101	0.010219724	0.068983137	0.443536025	0.027082269	0.092488503	0.028104241
etsy.com*	999	24.07.2017	30.07.2017	0.309375186	0.003978439	0.041342197	0.278170065	0.047368538	0.183755694	0.13600988
halfords.com*	999	24.07.2017	30.07.2017	0.151309025	0.006909088	0.023318172	0.603146925	0.083599964	0.113810773	0.017906053
harrods.com*	999	24.07.2017	30.07.2017	0.212440461	0.046153124	0.020202257	0.410943476	0.147657148	0.142072784	0.020530749
made.com*	999	24.07.2017	30.07.2017	0.375036557	0.0362959	0.047472382	0.14960993	0.176112576	0.149631007	0.065841648
bensonsforbeds.co.uk*	999	24.07.2017	30.07.2017	0.141472868	0	0	0.515503876	0.162790698	0.157945736	0.022286822
canon.co.uk*	999	24.07.2017	30.07.2017	0.109656677	5.74E-04	0.003444712	0.783212768	0.017797681	0.074979906	0.010334137
purecollection.com*	999	24.07.2017	30.07.2017	0.226337449	0.020576132	0.308641975	0.164609053	0.082304527	0.176954733	0.020576132
reiss.com*	999	24.07.2017	30.07.2017	0.285373609	0.053656598	0.053656598	0.372019078	0.065580286	0.132750397	0.036963434
goldsmiths.co.uk*	999	24.07.2017	30.07.2017	0.172451791	0.005509642	0.008264463	0.559779614	0.14600551	0.102479339	0.005509642
homebase.co.uk*	999	24.07.2017	30.07.2017	0.142405382	0.001409954	0.012901082	0.671943924	0.102251898	0.058301609	0.01078615
bosch-home.co.uk*	999	24.07.2017	30.07.2017	0.208860759	0	0.023734177	0.626582278	0	0.132911392	0.007911392
hp.com*	999	24.07.2017	30.07.2017	0.246435053	0.007193519	0.014207686	0.599546054	0.023166534	0.096065922	0.013385232
nespresso.com*	999	24.07.2017	30.07.2017	0.275374323	0.028227932	0.077421838	0.309335966	0.1571472	0.12453811	0.027954632
dunelm.com*	999	24.07.2017	30.07.2017	0.160328317	0.012716826	0.047343365	0.541833105	0.129313269	0.098812585	0.009652531
dwell.co.uk*	999	24.07.2017	30.07.2017	0.389841137	0.029264214	0.065844482	0.204849498	0.194607023	0.093645485	0.021948161
